"Step","20-agents - total_rewards","20-agents - total_rewards__MIN","20-agents - total_rewards__MAX","15-agents - total_rewards","15-agents - total_rewards__MIN","15-agents - total_rewards__MAX","10-agents - total_rewards","10-agents - total_rewards__MIN","10-agents - total_rewards__MAX","5-agents - total_rewards","5-agents - total_rewards__MIN","5-agents - total_rewards__MAX","1-agent - total_rewards","1-agent - total_rewards__MIN","1-agent - total_rewards__MAX"
"75","1.8056","1.8056","1.8056","0.6895999999999999","0.6895999999999999","0.6895999999999999","0.17919999999999991","0.17919999999999991","0.17919999999999991","0.7012","0.7012","0.7012","0","0","0"
"76","1.2368000000000001","1.2368000000000001","1.2368000000000001","2.84","2.84","2.84","1.9091999999999998","1.9091999999999998","1.9091999999999998","0.8668","0.8668","0.8668","0","0","0"
"77","1.2668","1.2668","1.2668","1.2728000000000002","1.2728000000000002","1.2728000000000002","3.1012","3.1012","3.1012","1.4203999999999999","1.4203999999999999","1.4203999999999999","0","0","0"
"78","1.2548","1.2548","1.2548","1.262","1.262","1.262","2.2728","2.2728","2.2728","1.2368000000000001","1.2368000000000001","1.2368000000000001","0","0","0"
"79","1.1467999999999998","1.1467999999999998","1.1467999999999998","1.9271999999999998","1.9271999999999998","1.9271999999999998","2.3044000000000002","2.3044000000000002","2.3044000000000002","1.55","1.55","1.55","0","0","0"
"80","2.0336","2.0336","2.0336","1.7536","1.7536","1.7536","0.604","0.604","0.604","0","0","0","0","0","0"
"81","4.070399999999999","4.070399999999999","4.070399999999999","2.2072","2.2072","2.2072","3.3447999999999998","3.3447999999999998","3.3447999999999998","0.7587999999999999","0.7587999999999999","0.7587999999999999","0","0","0"
"82","5.05","5.05","5.05","3.0587999999999997","3.0587999999999997","3.0587999999999997","2.658","2.658","2.658","0.40159999999999996","0.40159999999999996","0.40159999999999996","0","0","0"
"83","2.4556","2.4556","2.4556","2.1719999999999997","2.1719999999999997","2.1719999999999997","0","0","0","0.40959999999999996","0.40959999999999996","0.40959999999999996","0","0","0"
"84","2.2296","2.2296","2.2296","1.9811999999999999","1.9811999999999999","1.9811999999999999","1.8596","1.8596","1.8596","0.8236","0.8236","0.8236","0.5104","0.5104","0.5104"
"85","3.0884000000000005","3.0884000000000005","3.0884000000000005","3.1855999999999995","3.1855999999999995","3.1855999999999995","5.1128","5.1128","5.1128","0.9532","0.9532","0.9532","0","0","0"
"86","5.3324","5.3324","5.3324","2.3268","2.3268","2.3268","2.7220000000000004","2.7220000000000004","2.7220000000000004","1.3448","1.3448","1.3448","0","0","0"
"87","3.5816000000000003","3.5816000000000003","3.5816000000000003","3.4015999999999997","3.4015999999999997","3.4015999999999997","2.5132000000000003","2.5132000000000003","2.5132000000000003","0","0","0","0","0","0"
"88","1.8868","1.8868","1.8868","0.9335999999999999","0.9335999999999999","0.9335999999999999","1.1287999999999998","1.1287999999999998","1.1287999999999998","0.4528","0.4528","0.4528","0","0","0"
"89","2.3884","2.3884","2.3884","4.904","4.904","4.904","1.5384000000000002","1.5384000000000002","1.5384000000000002","0.7552","0.7552","0.7552","0","0","0"
"90","1.4404","1.4404","1.4404","1.7039999999999997","1.7039999999999997","1.7039999999999997","2.2043999999999997","2.2043999999999997","2.2043999999999997","0.5104","0.5104","0.5104","0.45640000000000003","0.45640000000000003","0.45640000000000003"
"91","3.1344000000000003","3.1344000000000003","3.1344000000000003","1.886","1.886","1.886","1.056","1.056","1.056","1.3808","1.3808","1.3808","0","0","0"
"92","3.0848000000000004","3.0848000000000004","3.0848000000000004","1.0748000000000002","1.0748000000000002","1.0748000000000002","0.6355999999999999","0.6355999999999999","0.6355999999999999","1.8012000000000001","1.8012000000000001","1.8012000000000001","0","0","0"
"93","3.8796000000000004","3.8796000000000004","3.8796000000000004","3.2972","3.2972","3.2972","2.0568","2.0568","2.0568","0.9199999999999999","0.9199999999999999","0.9199999999999999","0","0","0"
"94","2.4907999999999997","2.4907999999999997","2.4907999999999997","3.4087999999999994","3.4087999999999994","3.4087999999999994","2.5751999999999997","2.5751999999999997","2.5751999999999997","0.48160000000000003","0.48160000000000003","0.48160000000000003","0","0","0"
"95","2.8011999999999997","2.8011999999999997","2.8011999999999997","2.614","2.614","2.614","2.5140000000000002","2.5140000000000002","2.5140000000000002","1.388","1.388","1.388","0","0","0"
"96","2.1108000000000002","2.1108000000000002","2.1108000000000002","2.3764000000000003","2.3764000000000003","2.3764000000000003","4.6032","4.6032","4.6032","0.9316","0.9316","0.9316","0","0","0"
"97","2.7140000000000004","2.7140000000000004","2.7140000000000004","1.1683999999999999","1.1683999999999999","1.1683999999999999","0.8668","0.8668","0.8668","1.8192","1.8192","1.8192","0","0","0"
"98","4.6248000000000005","4.6248000000000005","4.6248000000000005","0.4628","0.4628","0.4628","0.20799999999999996","0.20799999999999996","0.20799999999999996","1.172","1.172","1.172","0","0","0"
"99","2.2576","2.2576","2.2576","2.5276000000000005","2.5276000000000005","2.5276000000000005","0.41679999999999995","0.41679999999999995","0.41679999999999995","0","0","0","0","0","0"
"100","0","0","0","0.7399999999999999","0.7399999999999999","0.7399999999999999","0.45999999999999996","0.45999999999999996","0.45999999999999996","0.9712","0.9712","0.9712","0","0","0"
"101","6.230800000000001","6.230800000000001","6.230800000000001","3.7183999999999995","3.7183999999999995","3.7183999999999995","0.9279999999999999","0.9279999999999999","0.9279999999999999","0.6832","0.6832","0.6832","0","0","0"
"102","3.8688","3.8688","3.8688","1.5276","1.5276","1.5276","2.3872","2.3872","2.3872","0.766","0.766","0.766","0","0","0"
"103","3.6456","3.6456","3.6456","0.6544","0.6544","0.6544","1.4419999999999997","1.4419999999999997","1.4419999999999997","0.946","0.946","0.946","0","0","0"
"104","4.5096","4.5096","4.5096","2.6536","2.6536","2.6536","1.5823999999999998","1.5823999999999998","1.5823999999999998","0.46640000000000004","0.46640000000000004","0.46640000000000004","0","0","0"
"105","3.0279999999999996","3.0279999999999996","3.0279999999999996","5.0136","5.0136","5.0136","1.812","1.812","1.812","0.9064","0.9064","0.9064","0","0","0"
"106","4.7139999999999995","4.7139999999999995","4.7139999999999995","7.101999999999999","7.101999999999999","7.101999999999999","3.4188","3.4188","3.4188","0.26560000000000006","0.26560000000000006","0.26560000000000006","0","0","0"
"107","2.4368000000000003","2.4368000000000003","2.4368000000000003","2.0856000000000003","2.0856000000000003","2.0856000000000003","0.812","0.812","0.812","0","0","0","0","0","0"
"108","6.368399999999999","6.368399999999999","6.368399999999999","3.3268000000000004","3.3268000000000004","3.3268000000000004","1.1612","1.1612","1.1612","0.8732","0.8732","0.8732","0","0","0"
"109","4.3116","4.3116","4.3116","2.0423999999999998","2.0423999999999998","2.0423999999999998","1.1179999999999999","1.1179999999999999","1.1179999999999999","0.9784","0.9784","0.9784","0","0","0"
"110","2.0704","2.0704","2.0704","3.4088000000000003","3.4088000000000003","3.4088000000000003","2.434","2.434","2.434","1.8228","1.8228","1.8228","0","0","0"
"111","2.5187999999999997","2.5187999999999997","2.5187999999999997","3.9991999999999996","3.9991999999999996","3.9991999999999996","2.7364","2.7364","2.7364","1.5608","1.5608","1.5608","0","0","0"
"112","3.866","3.866","3.866","3.3728000000000007","3.3728000000000007","3.3728000000000007","1.0372","1.0372","1.0372","0.09999999999999998","0.09999999999999998","0.09999999999999998","0","0","0"
"113","5.839200000000001","5.839200000000001","5.839200000000001","1.9884","1.9884","1.9884","1.776","1.776","1.776","0.946","0.946","0.946","0","0","0"
"114","2.794","2.794","2.794","4.878799999999999","4.878799999999999","4.878799999999999","0.6472","0.6472","0.6472","0.4888","0.4888","0.4888","0","0","0"
"115","3.0712","3.0712","3.0712","3.3224","3.3224","3.3224","1.6463999999999999","1.6463999999999999","1.6463999999999999","0.42399999999999993","0.42399999999999993","0.42399999999999993","0","0","0"
"116","2.4844","2.4844","2.4844","3.5844","3.5844","3.5844","0.8984","0.8984","0.8984","1.7804","1.7804","1.7804","0","0","0"
"117","2.3484","2.3484","2.3484","4.074000000000001","4.074000000000001","4.074000000000001","1.794","1.794","1.794","0","0","0","0","0","0"
"118","1.8192","1.8192","1.8192","4.772399999999999","4.772399999999999","4.772399999999999","1.2151999999999998","1.2151999999999998","1.2151999999999998","1.6796","1.6796","1.6796","0","0","0"
"119","4.6095999999999995","4.6095999999999995","4.6095999999999995","2.9012000000000002","2.9012000000000002","2.9012000000000002","1.8732","1.8732","1.8732","1.0568","1.0568","1.0568","0","0","0"
"120","3.6616","3.6616","3.6616","2.3935999999999997","2.3935999999999997","2.3935999999999997","2.9415999999999998","2.9415999999999998","2.9415999999999998","2.5383999999999998","2.5383999999999998","2.5383999999999998","0","0","0"
"121","3.1803999999999997","3.1803999999999997","3.1803999999999997","2.4555999999999996","2.4555999999999996","2.4555999999999996","1.7912","1.7912","1.7912","1.6148","1.6148","1.6148","0","0","0"
"122","1.0748","1.0748","1.0748","4.0488","4.0488","4.0488","0.7552","0.7552","0.7552","0.8884","0.8884","0.8884","0","0","0"
"123","4.677999999999999","4.677999999999999","4.677999999999999","2.6356","2.6356","2.6356","2.0632","2.0632","2.0632","0.892","0.892","0.892","0","0","0"
"124","6.201999999999999","6.201999999999999","6.201999999999999","3.9415999999999993","3.9415999999999993","3.9415999999999993","1.1143999999999998","1.1143999999999998","1.1143999999999998","0.9748","0.9748","0.9748","0","0","0"
"125","0.9056","0.9056","0.9056","1.1792","1.1792","1.1792","0.8948","0.8948","0.8948","1.5572","1.5572","1.5572","0.31599999999999995","0.31599999999999995","0.31599999999999995"
"126","3.7436","3.7436","3.7436","1.8776000000000002","1.8776000000000002","1.8776000000000002","0.8192","0.8192","0.8192","0.118","0.118","0.118","0","0","0"
"127","4.3324","4.3324","4.3324","1.8975999999999997","1.8975999999999997","1.8975999999999997","1.5859999999999999","1.5859999999999999","1.5859999999999999","0","0","0","0","0","0"
"128","5.457599999999999","5.457599999999999","5.457599999999999","4.03","4.03","4.03","2.9488","2.9488","2.9488","0.1864","0.1864","0.1864","0","0","0"
"129","3.8436000000000003","3.8436000000000003","3.8436000000000003","2.8824","2.8824","2.8824","2.5032","2.5032","2.5032","1.4096","1.4096","1.4096","0","0","0"
"130","2.6212","2.6212","2.6212","2.2215999999999996","2.2215999999999996","2.2215999999999996","1.8883999999999999","1.8883999999999999","1.8883999999999999","0.39879999999999993","0.39879999999999993","0.39879999999999993","0","0","0"
"131","3.4116","3.4116","3.4116","3.5103999999999997","3.5103999999999997","3.5103999999999997","2.5707999999999998","2.5707999999999998","2.5707999999999998","1.9632","1.9632","1.9632","0","0","0"
"132","2.218","2.218","2.218","2.5196","2.5196","2.5196","2.8552","2.8552","2.8552","1.0892","1.0892","1.0892","0","0","0"
